screen_width,window_height,workerId,age,totalTime_mins,comments,window_width,curId,race,vision,curTime,gender,ethnicity,screen_height
1093,658,A34148D16GAW5D,60,25.64085,HANDS KINDA CRAMPED ,998,3QY5DC2MXS4NAPS58FEI66M2NFWFU9,white,normal,05/11/2018@15:49:07,male,not_hispanic,615
1920,675,A2B2LOWFBD1EYL,27,28.4221833333,,1633,3RGU30DZTBSK2J9SI3EHUUX030KJMY,white,corrected,05/11/2018@17:01:26,female,not_hispanic,1080
1366,675,A38PNVW6N031PM,35,18.8640833333,,1316,3RU7GD8VPPDJMPPVXDFN3ZII4O8SPJ,white,normal,05/11/2018@14:52:35,na,hispanic,768
1920,938,A1D4BGCNYC0VJE,43,34.87645,,1836,3S3AMIZX3VPUQBX9VIYSO0XB42KDCX,white,corrected,05/11/2018@17:09:30,female,not_hispanic,1080
1366,675,A20VVSRO4GQECB,45,27.1003833333,,1282,3S4AW7T80C2ATJ8MFKQYOFTSLY3L46,white,corrected,05/11/2018@14:56:56,male,not_hispanic,768
1366,675,A3BERJW8HE4LR9,37,21.55565,,1282,3VW6495TLKKARPT5N63VYCZVPE6YYW,white,normal,05/11/2018@15:52:42,female,not_hispanic,768
1920,907,A2WQKPQT9DHBJK,29,16.69265,,874,3W8CV64QJ3J94TV85U7RDVB1Q9OH97,white,normal,05/11/2018@17:31:19,male,not_hispanic,1080
1366,660,A1Y3OOUMS1ZYXL,31,21.9400333333,,1081,3X0H8UUIT2896YMW9ZTIVTQEXLBSWE,"white,asian",corrected,05/11/2018@16:02:08,male,not_hispanic,768
1366,675,A3GM1ALJEW98WN,25,28.4155333333,,1166,3X1FV8S5JYBT14D0OPU5KDOX21HGVA,white,corrected,05/11/2018@22:08:19,male,not_hispanic,768
1440,675,A2BU52SRBB0TRF,38,20.1006333333,,1356,3X31TUMD7Y6T1KB3S27WQHMP9ETL1T,white,corrected,05/11/2018@16:52:02,male,not_hispanic,900
1366,675,ADO2KDM6FVCSU,36,30.0172,,1282,3X66WABAJX29PVBH4FOZ1IWEBHMG3B,white,corrected,05/11/2018@17:00:27,male,hispanic,768
1366,662,A2NHBVYS1EUNF2,,30.8417833333,very good,1016,3X66WABAJX29PVBH4FOZ1IWEBHNG3C,white,normal,05/11/2018@18:08:23,male,not_hispanic,768
